                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0404,                 2.3751,                 2.8343,                 1.4057,                0.60791,                0.44039,                0.47046,                0.31984,                0.64299,                0.43754,                 0.4731,                0.29859,                 1.0472,                 2.1517,                 2.1081,                 1.4702,             0.00030217,             0.00030217,             0.00030217
                      2,                 1.0083,                 2.0121,                 2.0882,                 1.3673,                0.54585,                0.52818,                 0.5041,                0.34868,                0.54463,                0.52594,                0.49816,                 0.3181,                 1.0984,                 2.4203,                 2.3176,                 1.4612,             0.00060277,             0.00060277,             0.00060277
                      3,                0.98457,                 1.9133,                 1.8898,                 1.3319,                0.54684,                 0.5553,                 0.4801,                0.31302,                0.54329,                0.55438,                0.46833,                0.29586,                 1.1143,                 2.1037,                 2.1556,                 1.5035,             0.00090097,             0.00090097,             0.00090097
                      4,                0.96444,                 1.8809,                  1.738,                 1.3118,                0.77254,                0.47571,                0.54333,                0.38236,                 0.7223,                0.44203,                0.47579,                 0.3139,                   1.05,                  2.249,                 1.9913,                 1.4081,              0.0008982,              0.0008982,              0.0008982
                      5,                0.90669,                 1.7741,                 1.6004,                 1.2568,                0.52276,                0.59455,                0.63013,                0.45495,                0.50552,                0.59308,                0.60274,                0.41648,                 1.0199,                 1.8772,                 1.4883,                 1.3853,              0.0008982,              0.0008982,              0.0008982
                      6,                0.90391,                 1.7069,                 1.5074,                 1.2584,                0.50903,                0.63811,                0.61421,                0.44397,                0.48157,                0.63563,                0.59167,                0.37477,                 1.0077,                 1.9889,                 1.4543,                 1.3992,              0.0008946,              0.0008946,              0.0008946
                      7,                 0.8871,                 1.7232,                 1.4918,                 1.2643,                0.59327,                0.67111,                0.67928,                  0.476,                0.62154,                 0.6582,                0.68313,                0.44689,                 1.0476,                  1.892,                 1.4298,                 1.4491,               0.000891,               0.000891,               0.000891
                      8,                0.87277,                 1.6542,                 1.3986,                 1.2454,                0.61531,                0.70873,                0.67018,                0.46777,                0.62709,                0.70567,                0.67983,                0.45332,                 0.9765,                 1.7086,                 1.3561,                 1.3312,              0.0008874,              0.0008874,              0.0008874
                      9,                 0.8492,                  1.593,                 1.3089,                 1.2188,                0.69188,                0.67088,                 0.7025,                0.51442,                0.68721,                0.66706,                0.70465,                0.48657,                0.95017,                 1.6538,                 1.1631,                 1.2907,              0.0008838,              0.0008838,              0.0008838
                     10,                0.85097,                  1.565,                 1.2905,                 1.2185,                0.69863,                0.65395,                0.71617,                 0.5277,                  0.701,                0.67041,                0.70861,                0.49247,                0.95338,                 1.7323,                 1.1652,                 1.3104,              0.0008802,              0.0008802,              0.0008802
                     11,                0.83675,                 1.5472,                 1.2411,                 1.2146,                0.70226,                0.70088,                0.73162,                0.54493,                0.68317,                0.67761,                0.70948,                0.50886,                0.91106,                 1.6043,                  1.067,                 1.3062,              0.0008766,              0.0008766,              0.0008766
                     12,                0.79873,                  1.486,                 1.1807,                 1.1795,                0.67776,                0.68309,                0.72952,                0.53151,                0.66619,                0.67458,                0.71934,                0.51554,                0.87753,                 1.5724,                 1.1281,                 1.2651,               0.000873,               0.000873,               0.000873
                     13,                0.79356,                 1.5058,                 1.1765,                 1.1857,                0.59269,                0.66145,                0.65876,                0.46506,                0.65801,                0.58368,                0.62305,                0.43794,                 1.0425,                 1.8075,                 1.2128,                 1.3834,              0.0008694,              0.0008694,              0.0008694
                     14,                0.80281,                 1.5147,                 1.1566,                  1.191,                0.70565,                0.73347,                0.76613,                0.54096,                0.70173,                0.72941,                0.75705,                0.53129,                0.92533,                  1.459,                 1.0462,                 1.2824,              0.0008658,              0.0008658,              0.0008658
                     15,                0.79203,                 1.4826,                 1.1254,                 1.1804,                0.78628,                0.66285,                0.71592,                0.54288,                0.77324,                0.65428,                0.70574,                0.52332,                0.84582,                 1.4798,                 1.0233,                 1.2224,              0.0008622,              0.0008622,              0.0008622
                     16,                0.78749,                 1.4459,                 1.1173,                 1.1801,                0.63208,                0.67623,                0.72986,                0.55461,                0.64144,                0.68412,                0.73691,                0.52382,                0.90116,                 1.5888,                 1.1012,                 1.2619,             0.00085861,             0.00085861,             0.00085861
                     17,                0.77285,                   1.44,                 1.0998,                 1.1683,                0.75808,                0.74537,                   0.78,                0.58937,                0.74949,                0.73735,                0.76541,                 0.5543,                0.83907,                 1.5186,                0.94463,                  1.221,             0.00085501,             0.00085501,             0.00085501
                     18,                0.76782,                 1.4053,                 1.0883,                 1.1591,                0.69835,                0.70002,                0.74904,                0.57328,                 0.7056,                0.71429,                0.75016,                0.54192,                0.84983,                 1.5489,                 1.0036,                 1.2213,             0.00085141,             0.00085141,             0.00085141
                     19,                0.74535,                  1.393,                 1.0346,                 1.1534,                0.80836,                 0.6499,                0.75556,                0.57494,                0.84554,                0.64634,                0.76309,                0.56085,                0.89794,                 1.4751,                0.96968,                 1.2504,             0.00084781,             0.00084781,             0.00084781
                     20,                0.74076,                 1.3409,                 1.0119,                 1.1414,                0.74429,                0.75346,                0.77192,                0.58543,                0.73487,                0.73923,                 0.7662,                0.56561,                0.84311,                 1.4553,                 0.9882,                 1.2035,             0.00084421,             0.00084421,             0.00084421
                     21,                0.74028,                 1.3436,                 1.0172,                 1.1477,                0.76202,                 0.7102,                0.76479,                0.58608,                0.76683,                0.70941,                0.76135,                0.55734,                0.85008,                 1.4653,                 0.9333,                 1.2017,             0.00084061,             0.00084061,             0.00084061
                     22,                0.72237,                 1.3363,                0.95618,                 1.1265,                 0.8026,                0.70617,                0.77961,                0.59055,                0.80492,                0.70799,                0.77673,                0.57199,                0.85966,                 1.4582,                0.93717,                 1.2127,             0.00083701,             0.00083701,             0.00083701
                     23,                0.72424,                 1.3579,                0.97941,                 1.1376,                0.78322,                0.71772,                0.77021,                0.58041,                 0.7861,                0.72082,                0.77788,                0.56969,                0.83134,                 1.3931,                0.87772,                 1.1902,             0.00083341,             0.00083341,             0.00083341
                     24,                0.73014,                 1.3335,                0.97375,                 1.1389,                 0.6158,                0.74276,                0.70181,                0.51706,                0.61281,                0.71189,                0.68623,                 0.4935,                0.87256,                 1.5455,                 1.1223,                 1.2203,             0.00082981,             0.00082981,             0.00082981
                     25,                0.72159,                 1.3298,                0.94766,                 1.1326,                0.71373,                0.64744,                0.71973,                0.55195,                0.71215,                0.64663,                0.71783,                0.53752,                0.85818,                 1.4212,                0.93812,                 1.2236,             0.00082621,             0.00082621,             0.00082621
                     26,                0.72112,                  1.338,                 0.9617,                  1.139,                0.76207,                0.72742,                0.77632,                0.59131,                0.78988,                0.70877,                0.78995,                 0.5678,                0.84143,                 1.4273,                0.90152,                 1.2031,             0.00082261,             0.00082261,             0.00082261
                     27,                0.71229,                  1.319,                0.92979,                  1.127,                0.78884,                0.77962,                0.81226,                0.62966,                0.79577,                0.78728,                0.82048,                0.60489,                0.80839,                 1.3838,                0.87709,                 1.1893,             0.00081901,             0.00081901,             0.00081901
                     28,                0.69895,                  1.273,                0.89909,                   1.11,                0.75938,                0.71193,                0.77612,                0.59605,                0.76978,                0.71548,                0.77528,                0.58917,                0.84361,                  1.348,                0.86696,                 1.2051,             0.00081541,             0.00081541,             0.00081541
                     29,                0.69972,                 1.2722,                0.90453,                 1.1201,                0.79605,                0.73228,                0.83247,                0.62661,                 0.8021,                0.73935,                0.84729,                0.61262,                0.79807,                 1.3535,                0.84092,                 1.1673,             0.00081181,             0.00081181,             0.00081181
                     30,                0.69951,                 1.2836,                0.90659,                 1.1196,                0.65865,                0.77727,                0.77585,                0.59572,                0.65978,                0.78301,                0.78183,                0.58217,                0.86916,                 1.4156,                0.94867,                 1.2362,             0.00080821,             0.00080821,             0.00080821
